,time,open,high,low,close,volume,daily_return,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,macd_short_window,macd_long_window,macd,macd_signal,macd_crossover_long,macd_crossover_short,macd_crossover_signal,rsi,rsi_long,rsi_short,rsi_signal,fast_volatility,slow_volatility,volatility_trend_long,volatility_trend_short,volatility_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_short,bollinger_signal
31,2020-04-15,175.1865,178.19,172.82,176.91,47845841,-0.0069046817110137715,176.39401728627132,168.8130722668285,1.0,0.0,1.0,169.9371800435109,169.31788951140538,0.6192905321055093,-2.641273712628983,1.0,0.0,1.0,56.08712479156894,1.0,0.0,1.0,0.017112584051914948,0.03592455406920692,1.0,0.0,1.0,162.672,9.895927711091987,182.46385542218397,142.88014457781603,0.0,0.0,0.0
32,2020-04-16,177.95,178.05,172.51,176.28,57355702,-0.0035611327793793057,176.33700864312902,169.78972988275177,1.0,0.0,1.0,170.91299849835536,169.83360139944944,1.079397098905929,-1.8971395503220008,1.0,0.0,1.0,55.512930907647444,1.0,0.0,1.0,0.012774820863040832,0.03371344559396582,1.0,0.0,1.0,164.1335,9.621985392565156,183.3774707851303,144.8895292148697,0.0,0.0,0.0
33,2020-04-17,179.2,180.28,176.66,179.25,53613756,0.01684819605173593,177.7935043216493,171.02544609219157,1.0,0.0,1.0,172.19561411399297,170.53111240689762,1.6645017070953543,-1.1848112988385298,1.0,0.0,1.0,57.7109136136,1.0,0.0,1.0,0.013813206047210222,0.03164850917978254,1.0,0.0,1.0,165.4445,9.813835279580413,185.07217055916084,145.81682944083917,0.0,0.0,0.0
34,2020-04-20,177.41,180.5,176.77,178.26,40954257,-0.005523012552301254,178.02675216083142,171.96932910640976,1.0,0.0,1.0,173.12859655799406,171.10362259897929,2.0249739590147726,-0.5428542472678692,1.0,0.0,1.0,56.70519439590543,1.0,0.0,1.0,0.012931279840296012,0.029859221469620542,1.0,0.0,1.0,166.87099999999998,9.47714530636177,185.8252906127235,147.91670938727646,0.0,0.0,0.0
35,2020-04-21,175.25,175.38,168.3408,170.67,63386103,-0.042578256479299914,174.3483760803622,171.79997991176714,1.0,0.0,1.0,172.7503509336873,171.0715024064623,1.678848527225,-0.09851369236929541,1.0,0.0,1.0,49.572539217654395,1.0,0.0,1.0,0.02843888435488044,0.03257996699466426,1.0,0.0,1.0,168.01449999999997,8.37001821981291,184.75453643962578,151.27446356037416,0.0,0.0,0.0
36,2020-04-22,178.45,184.78,178.14,182.31,57720085,0.06820179293373196,178.32918804021006,173.168599370006,1.0,0.0,1.0,174.22106617465846,171.90398370968728,2.317082464971179,0.38460553909879946,1.0,0.0,1.0,58.24649512320206,1.0,0.0,1.0,0.05797364149971141,0.03869889485298349,0.0,-1.0,-1.0,169.069,8.78708256476517,186.64316512953033,151.49483487046965,0.0,0.0,0.0
37,2020-04-23,184.08,187.05,183.15,185.15,56756444,0.015577861883604882,181.73959402011744,174.72762063911364,1.0,0.0,1.0,175.9024406093264,172.8851701015623,3.0172705077640956,0.9111385328318589,1.0,0.0,1.0,60.05198619093873,1.0,0.0,1.0,0.0413020128882902,0.03617358453413498,0.0,-1.0,-1.0,170.5185,8.935378691942557,188.3892573838851,152.64774261611487,0.0,0.0,0.0
38,2020-04-24,183.23,190.41,180.825,190.1,79317274,0.02673507966513622,185.91979701006633,176.72653582641078,1.0,0.0,1.0,178.08668051558388,174.16034268663176,3.9263378289521143,1.51417839205591,1.0,0.0,1.0,63.050988330994905,1.0,0.0,1.0,0.029521719425799155,0.034273027188809035,1.0,0.0,1.0,171.856,9.769039386056122,191.39407877211224,152.31792122788775,0.0,0.0,0.0
39,2020-04-27,192.657,193.75,187.41,187.54,106374064,-0.013466596528143082,186.7298985050339,178.13182207189587,1.0,0.0,1.0,179.5410373593402,175.15142841354793,4.389608945792276,2.089264502803183,1.0,0.0,1.0,60.520504460326414,1.0,0.0,1.0,0.030664280724864837,0.03314557563452998,1.0,0.0,1.0,173.3945,9.690769604438842,192.77603920887768,154.0129607911223,0.0,0.0,0.0
40,2020-04-28,188.66,189.2,182.56,182.86,35867080,-0.02495467633571491,184.7949492525161,178.74597050720868,1.0,0.0,1.0,180.0516469963648,175.72243371624808,4.329213280116733,2.537254258265893,1.0,0.0,1.0,56.0887280881606,1.0,0.0,1.0,0.028351215647934205,0.033030209983756026,1.0,0.0,1.0,174.245,9.740092131845676,193.72518426369135,154.76481573630866,0.0,0.0,0.0
41,2020-04-29,190.93,196.91,190.0,193.99,69449829,0.06086623646505518,189.3924746262591,180.72516070096998,1.0,0.0,1.0,182.19600899692406,177.0755867743038,5.120422222620277,3.05388785113677,1.0,0.0,1.0,63.02353915886653,1.0,0.0,1.0,0.04782588787263704,0.036621873283522545,0.0,-1.0,-1.0,175.60500000000002,10.512685319725822,196.63037063945166,154.57962936054838,0.0,0.0,0.0
42,2020-04-30,206.92,209.69,201.5701,204.71,82242605,0.05526058044229076,197.0512373131304,183.83800695261175,1.0,0.0,1.0,185.65969992047422,179.1225803465776,6.537119573896632,3.7505341956887426,1.0,0.0,1.0,68.22812078535729,1.0,0.0,1.0,0.038441405422103725,0.03741788179009563,0.0,-1.0,-1.0,177.86050000000003,11.67320344567892,201.20690689135787,154.5140931086422,0.0,-1.0,-1.0
43,2020-05-01,201.6,207.28,199.0501,202.28,27688202,-0.011870450881735217,199.66561865656533,186.230680650897,1.0,0.0,1.0,188.2166691634782,180.83794476534962,7.378724398128583,4.476172236176711,1.0,0.0,1.0,65.96165988697439,1.0,0.0,1.0,0.04196385716481264,0.036337587894930405,0.0,-1.0,-1.0,180.06450000000004,11.924398462153555,203.91329692430713,156.21570307569294,0.0,0.0,0.0
44,2020-05-04,200.2,205.91,198.7562,205.24,17168353,0.014633181728297417,202.45280932828274,188.69624188204205,1.0,0.0,1.0,190.83564313832773,182.64550441236076,8.19013872596696,5.218965534134761,1.0,0.0,1.0,67.38300295690607,1.0,0.0,1.0,0.029673939292196316,0.033900518798270766,1.0,0.0,1.0,182.61700000000002,11.552273004865604,205.72154600973124,159.5124539902688,0.0,0.0,0.0
45,2020-05-05,207.02,210.38,206.5,207.08,39463915,0.00896511401286304,204.76640466414142,191.08006221047785,1.0,0.0,1.0,193.33477496320037,184.45546704848218,8.879307914718197,5.951034010251449,1.0,0.0,1.0,68.26997861830571,1.0,0.0,1.0,0.02124814387455338,0.031664994118465795,1.0,0.0,1.0,184.69350000000003,12.045012191119172,208.78352438223837,160.6034756177617,0.0,0.0,0.0
46,2020-05-06,208.12,211.6,206.66,208.46,18415468,0.00666409117249378,206.61320233207073,193.33322047402504,1.0,0.0,1.0,195.66173266116954,186.23358060044646,9.428152060723079,6.6464576203457755,1.0,0.0,1.0,68.95192211888366,1.0,0.0,1.0,0.015337818378717703,0.02962092368985161,1.0,0.0,1.0,186.675,12.547243563931888,211.76948712786378,161.58051287213624,0.0,0.0,0.0
47,2020-05-07,211.16,211.6,209.04,211.3,24770066,0.013623716780197581,208.95660116603537,195.66201080021116,1.0,0.0,1.0,198.06761994406654,188.0903524078208,9.977267536245733,7.312619603525768,1.0,0.0,1.0,70.36357457227881,0.0,-1.0,-1.0,0.01118141083504796,0.02763871914822291,1.0,0.0,1.0,188.526,13.32876525256158,215.18353050512317,161.86846949487685,0.0,0.0,0.0
48,2020-05-08,212.24,213.21,210.85,212.35,21628908,0.004969238050165581,210.65330058301768,197.82468764025097,1.0,0.0,1.0,200.26490918344092,189.88736334057484,10.377545842866084,7.925604851393832,1.0,0.0,1.0,70.89054087708038,0.0,-1.0,-1.0,0.008833619788240625,0.025911710680520485,1.0,0.0,1.0,190.38350000000003,13.948133727265526,218.27976745453108,162.48723254546897,0.0,0.0,0.0
49,2020-05-11,210.8865,215.0,210.37,213.18,22461562,0.003908641393925105,211.91665029150886,199.8143672220992,1.0,0.0,1.0,202.25184623214233,191.6127438338656,10.63910239827672,8.46830436077041,1.0,0.0,1.0,71.32459123651944,0.0,-1.0,-1.0,0.006773269978892766,0.024313232663877835,1.0,0.0,1.0,192.30300000000003,14.325707147054048,220.95441429410812,163.65158570589193,0.0,0.0,0.0
50,2020-05-12,213.29,215.275,210.0,210.02,26747124,-0.014823154142039607,210.96832514575442,201.13660473270357,1.0,0.0,1.0,203.44694681181275,192.9762442906163,10.470702521196444,8.868783992855619,1.0,0.0,1.0,67.21529217800779,1.0,0.0,1.0,0.01364842410415797,0.02432348653151935,1.0,0.0,1.0,193.89700000000002,14.440033204510495,222.77706640902102,165.01693359097902,0.0,0.0,0.0
51,2020-05-13,209.43,210.78,202.11,205.14,19071099,-0.023235882296924193,208.0541625728772,201.65522582434298,1.0,0.0,1.0,203.70741653307232,193.87726323205214,9.830153301020175,9.06105785448853,1.0,0.0,1.0,61.33802210766255,1.0,0.0,1.0,0.015045156857657411,0.025034400646113147,1.0,0.0,1.0,195.30850000000004,14.06708897989979,223.44267795979962,167.17432204020045,0.0,0.0,0.0
52,2020-05-14,202.56,206.93,200.69,206.85,14134233,0.008335770693185252,207.45208128643858,202.328119954799,1.0,0.0,1.0,204.19089091259963,194.83820669634457,9.352684216255057,9.119383126841836,1.0,0.0,1.0,62.572984481474776,1.0,0.0,1.0,0.017237262245350972,0.023424812446250044,1.0,0.0,1.0,196.83700000000002,13.541695882289556,223.92039176457914,169.7536082354209,0.0,0.0,0.0
53,2020-05-15,205.27,211.34,204.12,211.04,34047199,0.020256224317138027,209.24604064321926,203.45650081441738,1.0,0.0,1.0,205.24460000296892,196.0383395336524,9.206260469316533,9.136758595336776,1.0,0.0,1.0,65.48244383273644,1.0,0.0,1.0,0.01862359122971912,0.022587449023500926,1.0,0.0,1.0,198.42650000000003,13.230875881019518,224.88825176203906,171.964748237961,0.0,0.0,0.0
54,2020-05-18,212.15,214.6445,210.94,213.21,35909126,0.010282410917361817,211.22802032160962,204.71970258762357,1.0,0.0,1.0,206.4700461563583,197.31031438301147,9.159731773346834,9.141353230938787,1.0,0.0,1.0,66.9168253122701,1.0,0.0,1.0,0.01320186647219208,0.021126790897680832,1.0,0.0,1.0,200.17400000000004,12.725553405399731,225.6251068107995,174.72289318920056,0.0,0.0,0.0
55,2020-05-19,213.27,220.49,212.83,216.88,30332973,0.01721307630974156,214.0540101608048,206.29451564913438,1.0,0.0,1.0,208.07157751691858,198.75992072501063,9.31165679190795,9.17541394313262,1.0,0.0,1.0,69.24458047278682,1.0,0.0,1.0,0.010456296018838854,0.02005792373146476,1.0,0.0,1.0,202.48450000000003,11.189023509907345,224.8625470198147,180.10645298018534,0.0,0.0,0.0
